Country,GDP ,GDP growth (%),Population,GDP per capita
Albania,13038538300.00,3.84,2884169,4521
Andorra,3012924131.00,1.87,77001,39128
Austria,416835975862.00,3.04,8819901,47261
Belarus,54456465473.00,2.42,9450231,5762
Belgium,494763551891.00,1.73,11419748,43325
Bosnia and Herzegovina,18054854789.00,3.19,3351525,5387
Bulgaria,58220973783.00,3.81,7102444,8197
Croatia,55213087271.00,2.92,4182857,13200
Cyprus,22054225828.00,4.23,1179678,18695
Czechia,215913545038.00,4.29,10641034,20291
Denmark,329865537183.00,2.24,5732274,57545
Estonia,266116515999.00,4.85,1319390,20170
Finland,252301837573.00,2.63,5511371,45778
France,2582501307216.00,1.82,64842509,39827
Germany,3693204332230.00,2.22,82658409,44680
Greece,203085551429.00,1.35,10569450,19214
Hungary,139761138103.00,3.99,9729823,14364
Iceland,24488467010.00,3.64,334393,73233
Ireland,331430014003.00,7.8,4753279,69727
Italy,1943835376342.00,1.5,60673701,32038
Latvia,304633024114.00,4.55,1951097,15613
Lithuania,47544459559.00,3.83,2845414,16709
Luxembourg,62316359824.00,2.3,591910,105280
Malta,12518134319.00,6.42,437933,28585
Moldova,8128493432.00,4.5,4059684,2002
Montengro,4844592067.00,4.7,627563,7720
Netherlands,830572618850.00,3.16,17021347,48796
North Macedonia,11279509014.00,0.24,2081996,5418
Norway,399488897844.00,1.92,5296326,75428
Poland,526465839003.00,4.81,37953180,13871
Portugal,219308128887.00,2.68,10288527,21316
Romania,211883923504.00,7.26,19653969,10781
Russia,1578417211937.00,1.55,145530082,10846
San Marino,1632860041.00,1.5,33671,48495
Serbia,41431648801.00,1.87,8829628,4692
Slovakia,95617670260.00,3.4,5447900,17551
Slovenia,48769655479.00,5,2076394,23488
Spain,1314314164402.00,3.05,46647428,28175
Sweden,535607385506.00,2.29,9904896,54075
Switzerland,678965423322.00,1.09,8455804,80296
Ukraine,112154185121.00,2.52,44487709,2521
United Kingdom,2637866340434.00,1.79,66727461,39532
